RĒĶINA NR,Google forms laika zīmogs,Statuss,Sākuma datums,STARTS,Dienu skaits,Beigu datums,VISTA,KANOE,SUP,UPE,Vārds,Telefons,E-pasts,Piezīmes
TESTS,,APSTIPRINĀTS,2026.9.5,,3,2026.11.5,10,7,0,,,,,
TESTS,,APSTIPRINĀTS,2026.9.5,,1,2026.9.5,2,1,0,,,,,
TESTS,,GAIDA APMAKSU,2026.19.6,,3,2026.21.6,7,5,4,Gauja,anna m,22151577,pededzeslaivas@gmail.com,
,,APSTIPRINĀTS,2026.9.1,,3,2026.11.1,12,1,0,,,,,
,,APSTIPRINĀTS,2026.15.1,,5,2026.19.1,5,0,0,,,,,
,,APSTIPRINĀTS,2026.16.1,,2,2026.17.1,5,3,1,,,,,
,,APSTIPRINĀTS,2026.23.2,,2,2026.24.2,4,1,0,,,,,
,,APSTIPRINĀTS,2026.24.2,,1,2026.24.2,7,3,0,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
,,,,,,1899.29.12,,,,,,,,
